caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:14:47.228,Role 1
0,Create Request for Quotation,2017-08-14 08:14:47.228,2017-08-14 08:19:48.235,Role 3
0,Analyze Request for Quotation,2017-08-14 08:19:48.235,2017-08-14 08:49:05.668,Role 4
0,Send Request for Quotation to Supplier,2017-08-14 08:49:05.668,2017-08-14 09:18:24.137,Role 4
1,Create Purchase Requisition,2017-08-14 09:28:34.903,2017-08-14 09:56:11.856,Role 1
1,Create Request for Quotation,2017-08-14 09:56:11.856,2017-08-14 10:03:38.41,Role 3
1,Analyze Request for Quotation,2017-08-14 10:03:38.41,2017-08-14 10:26:57.744,Role 4
1,Amend Request for Quotation,2017-08-14 10:26:57.744,2017-08-14 10:45:11.312,Role 1
1,Analyze Request for Quotation,2017-08-14 10:45:11.312,2017-08-14 10:58:22.116,Role 4
1,Amend Request for Quotation,2017-08-14 10:58:22.116,2017-08-14 11:02:22.943,Role 1
1,Analyze Request for Quotation,2017-08-14 11:02:22.943,2017-08-14 11:18:19.213,Role 4
1,Amend Request for Quotation,2017-08-14 11:18:19.213,2017-08-14 11:25:35.098,Role 1
1,Analyze Request for Quotation,2017-08-14 11:25:35.098,2017-08-14 11:50:34.434,Role 4
0,Create Quotation comparison Map,2017-08-14 09:18:24.137,2017-08-14 11:59:40.054,Role 4
1,Amend Request for Quotation,2017-08-14 11:50:34.434,2017-08-14 12:03:28.411,Role 1
0,Analyze Quotation Comparison Map,2017-08-14 11:59:40.054,2017-08-14 12:26:08.097,Role 1
0,Choose best option,2017-08-14 12:26:08.097,2017-08-14 12:26:08.097,Role 1
1,Analyze Request for Quotation,2017-08-14 12:03:28.411,2017-08-14 12:31:27.493,Role 4
1,Amend Request for Quotation,2017-08-14 12:31:27.493,2017-08-14 12:44:32.945,Role 1
1,Analyze Request for Quotation,2017-08-14 12:44:32.945,2017-08-14 13:00:11.811,Role 4
1,Amend Request for Quotation,2017-08-14 13:00:11.811,2017-08-14 13:08:08.789,Role 1
1,Analyze Request for Quotation,2017-08-14 13:08:08.789,2017-08-14 13:29:29.342,Role 4
1,Amend Request for Quotation,2017-08-14 13:29:29.342,2017-08-14 13:45:01.638,Role 1
1,Analyze Request for Quotation,2017-08-14 13:45:01.638,2017-08-14 14:12:25.212,Role 4
1,Send Request for Quotation to Supplier,2017-08-14 14:12:25.212,2017-08-14 14:37:24.65,Role 4
2,Create Purchase Requisition,2017-08-14 14:01:48.055,2017-08-14 14:58:44.388,Role 1
2,Create Request for Quotation,2017-08-14 14:58:44.388,2017-08-14 15:02:09.14,Role 3
2,Analyze Request for Quotation,2017-08-14 15:02:09.14,2017-08-14 15:17:24.496,Role 4
2,Send Request for Quotation to Supplier,2017-08-14 15:17:24.496,2017-08-14 15:35:28.576,Role 4
1,Create Quotation comparison Map,2017-08-14 14:37:24.65,2017-08-14 17:06:43.654,Role 4
1,Analyze Quotation Comparison Map,2017-08-14 17:06:43.654,2017-08-14 17:36:11.995,Role 1
1,Choose best option,2017-08-14 17:36:11.995,2017-08-14 17:36:11.995,Role 1
2,Create Quotation comparison Map,2017-08-14 15:35:28.576,2017-08-14 18:51:23.201,Role 4
2,Analyze Quotation Comparison Map,2017-08-14 18:51:23.201,2017-08-14 18:59:10.418,Role 1
2,Choose best option,2017-08-14 18:59:10.418,2017-08-14 18:59:10.418,Role 1
3,Create Purchase Requisition,2017-08-14 18:49:24.242,2017-08-14 19:07:38.356,Role 1
3,Create Request for Quotation,2017-08-14 19:07:38.356,2017-08-14 19:08:28.608,Role 3
4,Create Purchase Requisition,2017-08-14 20:42:04.07,2017-08-14 20:52:34.441,Role 1
4,Create Request for Quotation,2017-08-14 20:52:34.441,2017-08-14 20:55:45.79,Role 3
5,Create Purchase Requisition,2017-08-14 21:38:41.924,2017-08-14 22:29:49.934,Role 1
5,Create Request for Quotation,2017-08-14 22:29:49.934,2017-08-14 22:32:56.813,Role 3
6,Create Purchase Requisition,2017-08-14 22:54:45.812,2017-08-14 23:18:24.284,Role 1
6,Create Request for Quotation,2017-08-14 23:18:24.284,2017-08-14 23:26:03.166,Role 3
0,Settle Conditions With Supplier,2017-08-14 12:26:08.097,2017-08-14 23:31:10.32,Role 4
3,Analyze Request for Quotation,2017-08-14 23:31:10.32,2017-08-15 00:08:57.118,Role 4
4,Analyze Request for Quotation,2017-08-15 00:08:57.118,2017-08-15 00:29:03.787,Role 4
7,Create Purchase Requisition,2017-08-15 00:23:42.994,2017-08-15 00:29:24.619,Role 1
7,Analyze Purchase Requisition,2017-08-15 00:29:24.619,2017-08-15 00:31:22.888,Role 3
7,Create Request for Quotation,2017-08-15 00:31:22.888,2017-08-15 00:34:49.888,Role 3
4,Amend Request for Quotation,2017-08-15 00:29:03.787,2017-08-15 00:43:12.482,Role 1
5,Analyze Request for Quotation,2017-08-15 00:29:03.787,2017-08-15 00:58:04.194,Role 4
1,Settle Conditions With Supplier,2017-08-14 17:36:11.995,2017-08-15 01:03:58.405,Role 4
6,Analyze Request for Quotation,2017-08-15 00:58:04.194,2017-08-15 01:10:32.473,Role 4
0,Create Purchase Order,2017-08-15 01:03:58.405,2017-08-15 01:14:12.44,Role 4
8,Create Purchase Requisition,2017-08-15 00:56:56.78,2017-08-15 01:30:50.263,Role 1
8,Create Request for Quotation,2017-08-15 01:30:50.263,2017-08-15 01:34:36.796,Role 3
7,Analyze Request for Quotation,2017-08-15 01:14:12.44,2017-08-15 01:34:55.506,Role 4
3,Send Request for Quotation to Supplier,2017-08-15 01:10:32.473,2017-08-15 01:35:51.259,Role 4
0,Confirm Purchase Order,2017-08-15 01:14:12.44,2017-08-15 01:37:34.013,Role 2
