,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,roleID,role_ID,schedule
0,Resource table: Resources grouped by tasks performed 0.6,,,,,,,,,,
0,,10.133333333333333,,,"['444', '558', '13', '449', '149', '616', '286', '153', '10', '291', '68', '252', '132', '280', '7', '175', '55', '375', '28', '234', '446', '24', '480', '450', '47', '122', '406', '283', '36', '511', '208', '158', '56', '44', '168', '86', '115', '521', '316', '281', '555', '531', '184', '200', '111', '308', '459', '426', '197', '101', '210', '45', '124', '207', '571', '144', '78', '190', '363', '424', '196', '26', '425', '64', '147', '370', '171', '249', '39', '245', '347', '472', '423', '572', '337', '285', '166', '203', '63', '195', '223', '85', '50', '182', '32', '221', '588', '315', '123', '94', '358', '302', '127', '216', '199', '172', '290', '89', '412', '419', '193', '377', '598', '445', '479', '413', '473', '30', '120', '306', '48', '4', '452', '368', '608', '98', '58', '135', '137', '143', '454', '273', '186', '448', '364', '214', '18', '346', '16', '569', '185', '40', '311', '52', '411', '228', '134', '163', '6', '233', '258', '390', '148', '512', '161', '113', '79', '211', '198', '25', '264', '253', '352', '156', '422', '41', '355', '5', '73', '133', '46', '328', '506', '12', '289', '343', '152', '235', '345', '126', '72', '136', '15', '410', '499', '188', '557', '209', '236', '99', '564', '93', '613', '164', '21', '376', '76', '192', '241', '202', '374', '154', '29', '263', '77', '84', '288', '418', '87', '344', '204', '107', '159', '91', '34', '282', '20', '49', '229', '265', '59', '191', '173', '57', '213', '206', '359', '458', '565', '380', '317', '183', '92', '102', '109', '257', '568', '464', '97', '54', '432', '167', '189', '579', '594', '187', '128', '451', '259', '151', '169', '194', '80', '114', '110', '465', '460', '580', '217', '119', '14', '43', '74', '357', '103', '9', '11', '162', '399', '230', '95', '338', '295', '75', '201', '22', '336', '96', '33', '23', '112', '395', '369', '51', '53', '287', '349', '567', '42', '373', '566', '447', '100', '486', '155', '238', '31', '231', '356', '314', '335', '348', '269', '38', '212', '150', '174', '469', '329', '321', '160', '277', '215', '570', '495', '490', '104', '599', '121', '145', '350', '19', '463', '339', '165', '232', '466', '37', '125', '327', '17', '205', '556', '400', '222', '108', '394', '88', '494', '170', '146', '220', '27', '35', '90', '309', '310', '157', '106', '227', '453', '284', '417', '307', '105']",345.0,,Role 1,,Role_1,
1,,10.778846153846153,,,"['525', '2', '218', '602', '250', '239', '535', '371', '261', '474', '477', '439', '590', '300', '437', '507', '529', '547', '378', '537', '514', '388', '553', '402', '66', '582', '383', '501', '540', '442', '543', '130', '609', '519', '596', '560', '614', '297', '430', '70', '225', '470', '461', '243', '139', '550', '304', '392', '247', '333', '604', '592', '427', '420', '574', '522', '341', '532', '600', '517', '434', '361', '177', '509', '381', '562', '353', '366', '325', '504', '330', '82', '271', '611', '415', '397', '497', '456', '408', '319', '545', '255', '293', '586', '61', '481', '275', '467', '577', '180', '484', '117', '527', '584', '385', '606', '322', '267', '278', '488', '312', '404', '141', '492']",104.0,,Role 2,,Role_2,
2,,10.451923076923077,,,"['393', '546', '219', '362', '601', '538', '142', '83', '493', '482', '405', '294', '62', '597', '554', '428', '181', '443', '471', '508', '140', '518', '131', '561', '118', '505', '331', '323', '523', '67', '382', '593', '489', '605', '279', '610', '389', '354', '485', '603', '342', '591', '320', '372', '541', '244', '272', '515', '334', '3', '526', '240', '530', '607', '468', '431', '440', '416', '583', '438', '510', '268', '612', '435', '533', '498', '575', '301', '478', '298', '421', '544', '367', '587', '276', '251', '384', '71', '615', '256', '326', '520', '475', '305', '551', '548', '563', '262', '578', '379', '226', '528', '457', '178', '386', '502', '462', '398', '403', '536', '585', '409', '313', '248']",104.0,,Role 3,,Role_3,
3,,10.60655737704918,,,"['549', '65', '332', '81', '340', '595', '324', '299', '455', '69', '351', '176', '552', '539', '559', '237', '589', '496', '576', '401', '274', '542', '500', '292', '60', '516', '503', '487', '441', '414', '433', '138', '266', '224', '360', '391', '407', '524', '303', '483', '242', '296', '513', '365', '254', '318', '534', '246', '617', '396', '179', '573', '429', '491', '387', '260', '270', '116', '129', '436', '581']",61.0,,Role 4,,Role_4,
4,,0.0,,,['NOT_SET'],1.0,,Role 5,,Role_5,
5,,5.0,,,['476'],1.0,,Role 6,,Role_6,
6,,3.0,,,['8'],1.0,,Role 7,,Role_7,
0,,10.133333333333333,8.0,1687.0,,,444,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
1,,10.133333333333333,6.0,795.0,,,558,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
2,,10.133333333333333,16.0,19278.0,,,13,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
3,,10.133333333333333,7.0,3712.0,,,449,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
4,,10.133333333333333,8.0,4172.0,,,149,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
5,,10.133333333333333,8.0,3160.0,,,616,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
6,,10.133333333333333,20.0,1071.0,,,286,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
7,,10.133333333333333,2.0,672.0,,,153,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
8,,10.133333333333333,8.0,14689.0,,,10,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
9,,10.133333333333333,4.0,16153.0,,,291,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
10,,10.133333333333333,15.0,15267.0,,,68,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
11,,10.133333333333333,2.0,2091.0,,,252,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
12,,10.133333333333333,5.0,8414.0,,,132,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
13,,10.133333333333333,11.0,2269.0,,,280,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
14,,10.133333333333333,12.0,39141.0,,,7,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
15,,10.133333333333333,7.0,38.0,,,175,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
16,,10.133333333333333,19.0,19276.0,,,55,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
17,,10.133333333333333,8.0,1393.0,,,375,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
18,,10.133333333333333,9.0,38408.0,,,28,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
19,,10.133333333333333,14.0,2303.0,,,234,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
20,,10.133333333333333,19.0,686.0,,,446,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
21,,10.133333333333333,18.0,7545.0,,,24,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
22,,10.133333333333333,5.0,1504.0,,,480,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
23,,10.133333333333333,20.0,15991.0,,,450,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
24,,10.133333333333333,13.0,6129.0,,,47,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
25,,10.133333333333333,3.0,14579.0,,,122,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
26,,10.133333333333333,7.0,776.0,,,406,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
27,,10.133333333333333,7.0,20792.0,,,283,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
28,,10.133333333333333,7.0,428.0,,,36,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
29,,10.133333333333333,3.0,330.0,,,511,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
30,,10.133333333333333,6.0,29511.0,,,208,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
31,,10.133333333333333,14.0,11855.0,,,158,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
32,,10.133333333333333,20.0,6669.0,,,56,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
33,,10.133333333333333,6.0,10054.0,,,44,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
34,,10.133333333333333,12.0,4165.0,,,168,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
35,,10.133333333333333,11.0,29960.0,,,86,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
36,,10.133333333333333,14.0,14419.0,,,115,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}"
