type,cost_min,cost_max,cost_median,cost_Q1,cost_Q3,cost_avg,cost_total,time_inUse_min,time_inUse_max,time_inUse_median,time_inUse_Q1,time_inUse_Q3,time_inUse_avg,time_inUse_total,time_available_min,time_available_max,time_available_median,time_available_Q1,time_available_Q3,time_available_avg,time_available_total,time_workload_min,time_workload_max,time_workload_median,time_workload_Q1,time_workload_Q3,time_workload_avg,time_workload_total,instances_instance_0_id,instances_instance_0_cost,instances_instance_0_time_inUse,instances_instance_0_time_available,instances_instance_0_time_workload,instances_instance_1_id,instances_instance_1_cost,instances_instance_1_time_inUse,instances_instance_1_time_available,instances_instance_1_time_workload,instances_instance_2_id,instances_instance_2_cost,instances_instance_2_time_inUse,instances_instance_2_time_available,instances_instance_2_time_workload,instances_instance_3_id,instances_instance_3_cost,instances_instance_3_time_inUse,instances_instance_3_time_available,instances_instance_3_time_workload,instances_instance_4_id,instances_instance_4_cost,instances_instance_4_time_inUse,instances_instance_4_time_available,instances_instance_4_time_workload,instances_instance_5_id,instances_instance_5_cost,instances_instance_5_time_inUse,instances_instance_5_time_available,instances_instance_5_time_workload,instances_instance_6_id,instances_instance_6_cost,instances_instance_6_time_inUse,instances_instance_6_time_available,instances_instance_6_time_workload,instances_instance_7_id,instances_instance_7_cost,instances_instance_7_time_inUse,instances_instance_7_time_available,instances_instance_7_time_workload,instances_instance_8_id,instances_instance_8_cost,instances_instance_8_time_inUse,instances_instance_8_time_available,instances_instance_8_time_workload
Role_10,1.3157025E7,5.638725E7,2.4434475E7,1.50366E7,5.638725E7,3.1952775E7,2.23669425E8,13343.0,24347.0,20024.0,16036.0,21537.0,19309.714285714286,135168.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1.3157025E7,0.007098945240280382,0.012953460223720788,0.010653472194512056,0.00853171594642406,0.011458441402976737,0.010273447074851647,0.07191412952396153,ID4882,1.6916175E7,24347,1879575,0.012953460223720788,ID4872,4.135065E7,21537,1879575,0.011458441402976737,ID0998,1.3157025E7,21189,1879575,0.011273293164678184,ID4528,1.50366E7,16036,1879575,0.00853171594642406,ID0420,2.4434475E7,20024,1879575,0.010653472194512056,ID3716,5.638725E7,18692,1879575,0.009944801351369326,ID4618,5.638725E7,13343,1879575,0.007098945240280382,,,,,,,,,,
Role_11,1.3157025E7,5.0748525E7,1.6916175E7,1.50366E7,4.135065E7,2.78803625E7,1.67282175E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1.127745E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4882,1.6916175E7,0,1879575,0.0,ID4355,3.00732E7,0,1879575,0.0,ID4872,4.135065E7,0,1879575,0.0,ID0998,1.3157025E7,0,1879575,0.0,ID4528,1.50366E7,0,1879575,0.0,ID4385,5.0748525E7,0,1879575,0.0,,,,,,,,,,,,,,,
Role_22,3.9471075E7,3.9471075E7,3.9471075E7,3.9471075E7,3.9471075E7,3.9471075E7,3.9471075E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4851,3.9471075E7,0,1879575,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Role_17,1.50366E7,5.638725E7,3.9471075E7,3.00732E7,4.6989375E7,3.6756133333333336E7,3.308052E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1.6916175E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4167,5.638725E7,0,1879575,0.0,ID4641,4.6989375E7,0,1879575,0.0,ID0997,3.9471075E7,0,1879575,0.0,ID4622,3.00732E7,0,1879575,0.0,ID4799,3.383235E7,0,1879575,0.0,ID4932,1.50366E7,0,1879575,0.0,ID4219,2.0675325E7,0,1879575,0.0,ID3846,4.886895E7,0,1879575,0.0,ID4132,3.9471075E7,0,1879575,0.0
Role_15,3759150.0,4.6989375E7,9397875.0,5638725.0,3.9471075E7,1.879575E7,1.3157025E8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1.3157025E7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ID4287,9397875.0,0,1879575,0.0,ID4873,4.6989375E7,0,1879575,0.0,ID0997,3.9471075E7,0,1879575,0.0,ID4326,1.879575E7,0,1879575,0.0,ID4140,7518300.0,0,1879575,0.0,ID4162,3759150.0,0,1879575,0.0,ID0937,5638725.0,0,1879575,0.0,,,,,,,,,,
Role_9,5638725.0,4.135065E7,1.6916175E7,1.50366E7,2.631405E7,2.1093008333333332E7,1.89837075E8,71969.0,145848.0,108576.0,92252.0,135918.0,109714.0,987426.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1.6916175E7,0.03829003897157602,0.07759626511312398,0.05776625034914808,0.049081308274476945,0.07231315589960496,0.05837170636979104,0.5253453573281194,ID4882,1.6916175E7,109259,1879575,0.058129630368567366,ID4355,3.00732E7,100580,1879575,0.05351209714962159,ID4872,4.135065E7,108576,1879575,0.05776625034914808,ID4445,1.6916175E7,86121,1879575,0.04581940066238378,ID0998,1.3157025E7,145848,1879575,0.07759626511312398,ID4528,1.50366E7,71969,1879575,0.03829003897157602,ID0420,2.4434475E7,136903,1879575,0.07283721053961667,ID4718,2.631405E7,135918,1879575,0.07231315589960496,ID0937,5638725.0,92252,1879575,0.049081308274476945
Role_5,5638725.0,5.638725E7,9397875.0,9397875.0,2.4434475E7,2.105124E7,1.052562E8,930954.0,1051867.0,972812.0,945710.0,1020355.0,984339.6,4921698.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,9397875.0,0.4953002673476717,0.5596302355585704,0.5175701953899152,0.5031509782796643,0.542864743359536,0.5237032839870716,2.6185164199353577,ID4287,9397875.0,1051867,1879575,0.5596302355585704,ID4618,5.638725E7,972812,1879575,0.5175701953899152,ID4163,2.4434475E7,945710,1879575,0.5031509782796643,ID4493,9397875.0,930954,1879575,0.4953002673476717,ID0937,5638725.0,1020355,1879575,0.542864743359536,,,,,,,,,,,,,,,,,,,,
Role_6,3759150.0,5.26281E7,9397875.0,3759150.0,4.135065E7,2.678394375E7,1.07135775E8,248400.0,248400.0,248400.0,248400.0,248400.0,248400.0,993600.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,7518300.0,0.13215753561310403,0.13215753561310403,0.13215753561310403,0.13215753561310403,0.13215753561310403,0.13215753561310403,0.5286301424524161,ID4820,3759150.0,248400,1879575,0.13215753561310403,ID4291,4.135065E7,248400,1879575,0.13215753561310403,ID4491,5.26281E7,248400,1879575,0.13215753561310403,ID4493,9397875.0,248400,1879575,0.13215753561310403,,,,,,,,,,,,,,,,,,,,,,,,,
Role_7,9397875.0,5.638725E7,2.4434475E7,1.6916175E7,4.135065E7,2.9864358333333332E7,2.68779225E8,155706.0,255844.0,219738.0,207650.0,237046.0,217019.55555555556,1953176.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1.6916175E7,0.08284106779458122,0.13611800540015695,0.1169083436415147,0.11047710253647766,0.12611680832103003,0.11546203559610846,1.0391583203649761,ID4287,9397875.0,255844,1879575,0.13611800540015695,ID4355,3.00732E7,155706,1879575,0.08284106779458122,ID4872,4.135065E7,246889,1879575,0.1313536304749744,ID4445,1.6916175E7,216426,1879575,0.11514624316667332,ID4528,1.50366E7,185741,1879575,0.09882074405118178,ID0420,2.4434475E7,237046,1879575,0.12611680832103003,ID4618,5.638725E7,228136,1879575,0.12137637497838608,ID4163,2.4434475E7,207650,1879575,0.11047710253647766,ID4385,5.0748525E7,219738,1879575,0.1169083436415147
Role_8,5638725.0,5.638725E7,2.4434475E7,9397875.0,5.26281E7,3.132625E7,2.8193625E8,866675.0,972709.0,925579.0,914584.0,932684.0,922441.1111111111,8301970.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1879575.0,1.6916175E7,0.46110157881435965,0.5175153957676603,0.4924405783222271,0.4865908516552944,0.4962206881874892,0.49077111108155363,4.416939999733983,ID4287,9397875.0,932684,1879575,0.4962206881874892,ID4167,5.638725E7,866675,1879575,0.46110157881435965,ID4955,4.3230225E7,972709,1879575,0.5175153957676603,ID0420,2.4434475E7,917681,1879575,0.488238564569118,ID4529,5.26281E7,940140,1879575,0.5001875423965524,ID4618,5.638725E7,899546,1879575,0.4785901068060599,ID4163,2.4434475E7,925579,1879575,0.4924405783222271,ID4493,9397875.0,914584,1879575,0.4865908516552944,ID0937,5638725.0,932372,1879575,0.49605469321522155
