caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:40:17.026,Role 16
0,Analyze Purchase Requisition,2017-08-14 08:40:17.026,2017-08-14 08:45:53.737,Role 2
0,Create Request for Quotation,2017-08-14 08:45:53.737,2017-08-14 08:47:31.294,Role 2
0,Analyze Request for Quotation,2017-08-14 08:47:31.294,2017-08-14 09:19:35.919,Role 3
0,Send Request for Quotation to Supplier,2017-08-14 09:19:35.919,2017-08-14 09:32:22.259,Role 3
1,Create Purchase Requisition,2017-08-14 10:53:12.662,2017-08-14 11:25:15.207,Role 16
1,Analyze Purchase Requisition,2017-08-14 11:25:15.207,2017-08-14 11:29:57.729,Role 2
1,Create Request for Quotation,2017-08-14 11:29:57.729,2017-08-14 11:32:34.217,Role 2
1,Analyze Request for Quotation,2017-08-14 11:32:34.217,2017-08-14 12:06:06.951,Role 3
1,Amend Request for Quotation,2017-08-14 12:06:06.951,2017-08-14 12:06:01.536,Role 3
1,Analyze Request for Quotation,2017-08-14 12:06:01.536,2017-08-14 12:32:59.925,Role 3
1,Amend Request for Quotation,2017-08-14 12:32:59.925,2017-08-14 12:45:06.305,Role 3
1,Analyze Request for Quotation,2017-08-14 12:45:06.305,2017-08-14 13:01:11.72,Role 3
0,Create Quotation comparison Map,2017-08-14 09:32:22.259,2017-08-14 13:01:36.869,Role 3
1,Send Request for Quotation to Supplier,2017-08-14 13:01:11.72,2017-08-14 13:15:13.95,Role 3
0,Analyze Quotation Comparison Map,2017-08-14 13:01:36.869,2017-08-14 13:30:58.362,Role 3
0,Choose best option,2017-08-14 13:30:58.362,2017-08-14 13:30:58.362,Role 8
1,Create Quotation comparison Map,2017-08-14 13:15:13.95,2017-08-14 18:10:12.974,Role 3
1,Analyze Quotation Comparison Map,2017-08-14 18:10:12.974,2017-08-14 18:16:35.901,Role 3
1,Choose best option,2017-08-14 18:16:35.901,2017-08-14 18:16:35.901,Role 8
2,Create Purchase Requisition,2017-08-14 20:18:39.017,2017-08-14 20:59:51.173,Role 16
2,Analyze Purchase Requisition,2017-08-14 20:59:51.173,2017-08-14 21:01:30.158,Role 2
2,Create Request for Quotation,2017-08-14 21:01:30.158,2017-08-14 21:04:28.436,Role 2
0,Settle Conditions With Supplier,2017-08-14 13:30:58.362,2017-08-14 22:38:30.461,Role 3
2,Analyze Request for Quotation,2017-08-14 22:38:30.461,2017-08-14 22:55:04.214,Role 3
0,Create Purchase Order,2017-08-14 22:55:04.214,2017-08-14 23:04:48.045,Role 3
0,Confirm Purchase Order,2017-08-14 23:04:48.045,2017-08-14 23:10:13.651,Role 11
2,Amend Request for Quotation,2017-08-14 23:04:48.045,2017-08-14 23:11:00.019,Role 3
3,Create Purchase Requisition,2017-08-14 22:58:23.865,2017-08-14 23:32:50.985,Role 16
2,Analyze Request for Quotation,2017-08-14 23:11:00.019,2017-08-14 23:35:09.042,Role 3
3,Analyze Purchase Requisition,2017-08-14 23:32:50.985,2017-08-14 23:41:06.454,Role 2
2,Amend Request for Quotation,2017-08-14 23:35:09.042,2017-08-14 23:49:11.303,Role 3
2,Analyze Request for Quotation,2017-08-14 23:49:11.303,2017-08-15 00:07:42.937,Role 3
3,Amend Purchase Requisition,2017-08-14 23:41:06.454,2017-08-15 00:07:53.084,Role 2
2,Amend Request for Quotation,2017-08-15 00:07:42.937,2017-08-15 00:15:37.557,Role 3
3,Analyze Purchase Requisition,2017-08-15 00:07:53.084,2017-08-15 00:17:11.23,Role 2
3,Create Request for Quotation,2017-08-15 00:17:11.23,2017-08-15 00:19:20.278,Role 2
2,Analyze Request for Quotation,2017-08-15 00:15:37.557,2017-08-15 00:30:27.057,Role 3
3,Analyze Request for Quotation,2017-08-15 00:30:27.057,2017-08-15 00:43:19.714,Role 3
2,Amend Request for Quotation,2017-08-15 00:43:19.714,2017-08-15 00:56:50.2,Role 3
3,Send Request for Quotation to Supplier,2017-08-15 00:56:50.2,2017-08-15 01:06:47.704,Role 3
2,Analyze Request for Quotation,2017-08-15 01:06:47.704,2017-08-15 01:36:10.154,Role 3
0,Deliver Goods Services,2017-08-14 23:10:13.651,2017-08-15 03:41:49.69,Role 11
0,Release Purchase Order,2017-08-15 03:41:49.69,2017-08-15 03:42:49.69,Role 11
4,Create Purchase Requisition,2017-08-15 04:58:11.292,2017-08-15 05:23:51.641,Role 16
4,Analyze Purchase Requisition,2017-08-15 05:23:51.641,2017-08-15 05:31:15.963,Role 2
4,Amend Purchase Requisition,2017-08-15 05:31:15.963,2017-08-15 05:58:24.732,Role 2
4,Analyze Purchase Requisition,2017-08-15 05:58:24.732,2017-08-15 06:04:18.123,Role 2
4,Create Request for Quotation,2017-08-15 06:04:18.123,2017-08-15 06:06:39.513,Role 2
3,Create Quotation comparison Map,2017-08-15 01:36:10.154,2017-08-15 07:24:27.302,Role 3
2,Send Request for Quotation to Supplier,2017-08-15 07:24:27.302,2017-08-15 07:41:23.851,Role 3
0,Approve Purchase Order for payment,2017-08-15 07:41:23.851,2017-08-15 07:42:23.851,Role 3
0,Send Invoice,2017-08-15 07:42:23.851,2017-08-15 07:42:23.851,Role 11
0,Release Supplier's Invoice,2017-08-15 07:42:23.851,2017-08-15 07:44:42.958,Role 16
0,Authorize Supplier's Invoice payment,2017-08-15 07:44:42.958,2017-08-15 07:44:42.958,Role 16
0,Pay Invoice,2017-08-15 07:44:42.958,2017-08-15 07:52:15.998,Role 16
4,Analyze Request for Quotation,2017-08-15 07:42:23.851,2017-08-15 08:22:05.116,Role 3
1,Settle Conditions With Supplier,2017-08-14 18:16:35.901,2017-08-15 08:34:24.282,Role 3
3,Analyze Quotation Comparison Map,2017-08-15 08:22:05.116,2017-08-15 08:52:59.1,Role 3
3,Choose best option,2017-08-15 08:52:59.1,2017-08-15 08:52:59.1,Role 8
4,Amend Request for Quotation,2017-08-15 08:52:59.1,2017-08-15 08:59:10.942,Role 3
1,Create Purchase Order,2017-08-15 08:59:10.942,2017-08-15 09:11:26.412,Role 3
1,Confirm Purchase Order,2017-08-15 09:11:26.412,2017-08-15 09:33:16.007,Role 11
2,Create Quotation comparison Map,2017-08-15 08:34:24.282,2017-08-15 10:44:54.126,Role 3
4,Analyze Request for Quotation,2017-08-15 10:44:54.126,2017-08-15 11:06:58.203,Role 3
2,Analyze Quotation Comparison Map,2017-08-15 11:06:58.203,2017-08-15 11:30:26.078,Role 3
