,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,6.8,,,10.0,5.0,[2 1 1 1 1],"['2', '312', '540', '547', '434']",Role 1,,Role_1,,TRIAGE
1,,11.4,,,9.0,5.0,[2 1 1 1 1],"['3', '438', '384', '530', '526']",Role 2,,Role_2,,INGRESOADMISION
2,,12.6,,,12.0,5.0,[ 67  75 128 131 108],"['451', '203', '27', '23', '16']",Role 3,,Role_3,,Folio
3,,0.0,,,6.0,1.0,[104   0   0   0   0],['NOT_SET'],Role 4,,Role_4,,ATENCIONCONSULTA
4,,0.0,,,5.0,1.0,[90  0  0  0  0],['NOT_SET'],Role 5,,Role_5,,EGRESOADMISION
5,,14.4,,,2.0,5.0,[4 3 3 3 3],"['69', '224', '242', '516', '81']",Role 6,,Role_6,,SALIDAEGRESO
6,,0.0,,,7.0,1.0,[91  0  0  0  0],['NOT_SET'],Role 7,,Role_7,,SALIDAURGENCIAS
7,,0.0,,,0.0,1.0,[104   0   0   0   0],['NOT_SET'],Role 8,,Role_8,,FACTURACIONADMISION
8,,0.0,,,4.0,1.0,[81  0  0  0  0],['NOT_SET'],Role 9,,Role_9,,DIGITURNO
9,,0.0,,,11.0,1.0,[79  0  0  0  0],['NOT_SET'],Role 10,,Role_10,,HOSPITALIZACIONADMISION
10,,0.0,,,1.0,1.0,[20  0  0  0  0],['NOT_SET'],Role 11,,Role_11,,MUERTEEGRESO
11,,5.0,,,8.0,1.0,[1 0 0 0 0],['476'],Role 12,,Role_12,,ANULACIONADMISION
12,,3.0,,,3.0,1.0,[4 0 0 0 0],['8'],Role 13,,Role_13,,REGISTROINFURGENCIA
0,,6.8,2.0,788.0,,,,2,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,6.8,6.0,783.0,,,,312,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,6.8,7.0,301.0,,,,540,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,6.8,15.0,706.0,,,,547,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,6.8,4.0,750.0,,,,434,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,11.4,7.0,0.0,,,,3,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,11.4,18.0,0.0,,,,438,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,11.4,1.0,0.0,,,,384,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,11.4,13.0,0.0,,,,530,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,11.4,18.0,0.0,,,,526,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,12.6,18.0,56068.0,,,,451,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
11,,12.6,16.0,45474.0,,,,203,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
