,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,0.0,,,11.0,1.0,[32  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 1,,Role_1,,DIGITURNO
1,,9.0,,,6.0,13.0,[17  3  4  1  2  4  2  1  2  1  1  1  2],"['2', '238', '19', '314', '166', '177', '171', '183', '167', '275', '309', '155', '341']",Role 2,,Role_2,,TRIAGE
2,,11.923076923076923,,,3.0,13.0,[ 2  2  3  1  1  1  1  3  2  1  2  2 12],"['156', '286', '106', '145', '226', '315', '330', '23', '3', '188', '28', '338', 'NOT_SET']",Role 3,,Role_3,,INGRESOADMISION
3,,0.0,,,12.0,1.0,[39  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 4,,Role_4,,EGRESOADMISION
4,,12.307692307692308,,,7.0,13.0,[2 2 1 1 2 1 1 2 1 1 1 1 1],"['142', '162', '27', '285', '187', '170', '337', '245', '313', '242', '38', '308', '225']",Role 5,,Role_5,,SALIDAEGRESO
5,,12.153846153846153,,,8.0,13.0,[34 52 68 35 39 85 54 42 38 44 30 68 60],"['69', '10', '68', '81', '71', '49', '70', '53', '40', '16', '12', '76', '264']",Role 6,,Role_6,,Folio
6,,0.0,,,4.0,1.0,[43  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 7,,Role_7,,ATENCIONCONSULTA
7,,0.0,,,0.0,1.0,[40  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 8,,Role_8,,SALIDAURGENCIAS
8,,0.0,,,9.0,1.0,[43  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 9,,Role_9,,FACTURACIONADMISION
9,,0.0,,,10.0,1.0,[34  0  0  0  0  0  0  0  0  0  0  0  0],['NOT_SET'],Role 10,,Role_10,,HOSPITALIZACIONADMISION
10,,0.0,,,2.0,1.0,[4 0 0 0 0 0 0 0 0 0 0 0 0],['NOT_SET'],Role 11,,Role_11,,MUERTEEGRESO
11,,8.0,,,5.0,1.0,[1 0 0 0 0 0 0 0 0 0 0 0 0],['342'],Role 12,,Role_12,,REGISTROINFURGENCIA
12,,10.0,,,1.0,1.0,[1 0 0 0 0 0 0 0 0 0 0 0 0],['295'],Role 13,,Role_13,,ANULACIONADMISION
0,,0.0,0.0,20849.0,,,,NOT_SET,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,9.0,2.0,8181.0,,,,2,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,9.0,6.0,1623.0,,,,238,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,9.0,4.0,1171.0,,,,19,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,9.0,5.0,342.0,,,,314,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,9.0,14.0,972.0,,,,166,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,9.0,16.0,3455.0,,,,177,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,9.0,9.0,934.0,,,,171,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,9.0,9.0,478.0,,,,183,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,9.0,1.0,947.0,,,,167,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
