caseid,task,start_timestamp,end_timestamp,resource
0,Create Purchase Requisition,2017-08-14 08:00:00.0,2017-08-14 08:51:51.311,Role 1
0,Analyze Purchase Requisition,2017-08-14 08:51:51.311,2017-08-14 08:59:21.475,Role 2
0,Create Request for Quotation,2017-08-14 08:59:21.475,2017-08-14 09:00:21.746,Role 2
0,Analyze Request for Quotation,2017-08-14 09:00:21.746,2017-08-14 09:34:20.985,Role 4
0,Amend Request for Quotation,2017-08-14 09:34:20.985,2017-08-14 09:39:08.447,Role 8
0,Analyze Request for Quotation,2017-08-14 09:39:08.447,2017-08-14 10:04:01.98,Role 4
0,Send Request for Quotation to Supplier,2017-08-14 10:04:01.98,2017-08-14 10:31:55.689,Role 4
1,Create Purchase Requisition,2017-08-14 11:06:21.769,2017-08-14 12:03:01.493,Role 1
1,Analyze Purchase Requisition,2017-08-14 12:03:01.493,2017-08-14 12:16:14.557,Role 2
1,Create Request for Quotation,2017-08-14 12:16:14.557,2017-08-14 12:17:34.953,Role 2
1,Analyze Request for Quotation,2017-08-14 12:17:34.953,2017-08-14 12:40:17.501,Role 4
1,Send Request for Quotation to Supplier,2017-08-14 12:40:17.501,2017-08-14 13:12:27.942,Role 4
0,Create Quotation comparison Map,2017-08-14 10:31:55.689,2017-08-14 14:44:49.05,Role 4
0,Analyze Quotation Comparison Map,2017-08-14 14:44:49.05,2017-08-14 15:01:44.263,Role 1
0,Choose best option,2017-08-14 15:01:44.263,2017-08-14 15:01:44.263,Role 8
2,Create Purchase Requisition,2017-08-14 16:01:57.36,2017-08-14 16:08:58.018,Role 1
2,Analyze Purchase Requisition,2017-08-14 16:08:58.018,2017-08-14 16:12:24.291,Role 2
2,Create Request for Quotation,2017-08-14 16:12:24.291,2017-08-14 16:14:07.727,Role 2
2,Analyze Request for Quotation,2017-08-14 16:14:07.727,2017-08-14 16:31:02.836,Role 4
2,Send Request for Quotation to Supplier,2017-08-14 16:31:02.836,2017-08-14 16:43:14.554,Role 4
1,Create Quotation comparison Map,2017-08-14 13:12:27.942,2017-08-14 17:09:58.9,Role 4
1,Analyze Quotation Comparison Map,2017-08-14 17:09:58.9,2017-08-14 17:23:16.155,Role 1
1,Choose best option,2017-08-14 17:23:16.155,2017-08-14 17:23:16.155,Role 8
2,Create Quotation comparison Map,2017-08-14 16:43:14.554,2017-08-14 18:33:14.532,Role 4
2,Analyze Quotation Comparison Map,2017-08-14 18:33:14.532,2017-08-14 19:06:08.502,Role 1
2,Choose best option,2017-08-14 19:06:08.502,2017-08-14 19:06:08.502,Role 8
3,Create Purchase Requisition,2017-08-14 19:02:40.232,2017-08-14 19:32:55.47,Role 1
3,Analyze Purchase Requisition,2017-08-14 19:32:55.47,2017-08-14 19:40:20.063,Role 2
3,Create Request for Quotation,2017-08-14 19:40:20.063,2017-08-14 19:41:46.181,Role 2
4,Create Purchase Requisition,2017-08-14 22:19:45.249,2017-08-14 23:03:03.91,Role 1
4,Analyze Purchase Requisition,2017-08-14 23:03:03.91,2017-08-14 23:11:08.673,Role 2
4,Create Request for Quotation,2017-08-14 23:11:08.673,2017-08-14 23:12:32.962,Role 2
0,Settle Conditions With Supplier,2017-08-14 15:01:44.263,2017-08-14 23:34:12.262,Role 4
3,Analyze Request for Quotation,2017-08-14 23:34:12.262,2017-08-14 23:41:33.967,Role 4
2,Settle Conditions With Supplier,2017-08-14 19:06:08.502,2017-08-14 23:50:18.569,Role 4
3,Amend Request for Quotation,2017-08-14 23:41:33.967,2017-08-14 23:52:19.927,Role 8
0,Create Purchase Order,2017-08-14 23:50:18.569,2017-08-14 23:58:47.929,Role 4
2,Create Purchase Order,2017-08-14 23:58:47.929,2017-08-15 00:09:23.431,Role 4
1,Settle Conditions With Supplier,2017-08-14 17:23:16.155,2017-08-15 00:12:05.298,Role 4
4,Analyze Request for Quotation,2017-08-14 23:41:33.967,2017-08-15 00:12:47.052,Role 4
2,Confirm Purchase Order,2017-08-15 00:09:23.431,2017-08-15 00:13:30.115,Role 11
1,Create Purchase Order,2017-08-15 00:12:05.298,2017-08-15 00:20:17.991,Role 4
0,Confirm Purchase Order,2017-08-14 23:58:47.929,2017-08-15 00:30:27.129,Role 11
4,Send Request for Quotation to Supplier,2017-08-15 00:12:47.052,2017-08-15 00:35:47.36,Role 4
3,Analyze Request for Quotation,2017-08-15 00:09:23.431,2017-08-15 00:40:00.182,Role 4
5,Create Purchase Requisition,2017-08-15 00:27:11.441,2017-08-15 00:44:00.505,Role 1
5,Analyze Purchase Requisition,2017-08-15 00:44:00.505,2017-08-15 00:47:22.719,Role 2
5,Create Request for Quotation,2017-08-15 00:47:22.719,2017-08-15 00:49:21.71,Role 2
1,Confirm Purchase Order,2017-08-15 00:20:17.991,2017-08-15 00:50:34.574,Role 11
3,Send Request for Quotation to Supplier,2017-08-15 00:40:00.182,2017-08-15 00:53:17.901,Role 4
5,Analyze Request for Quotation,2017-08-15 00:49:21.71,2017-08-15 01:02:56.746,Role 4
5,Amend Request for Quotation,2017-08-15 01:02:56.746,2017-08-15 01:08:18.288,Role 8
5,Analyze Request for Quotation,2017-08-15 01:08:18.288,2017-08-15 01:27:35.213,Role 4
5,Amend Request for Quotation,2017-08-15 01:27:35.213,2017-08-15 01:32:58.798,Role 8
5,Analyze Request for Quotation,2017-08-15 01:32:58.798,2017-08-15 02:00:52.291,Role 4
5,Send Request for Quotation to Supplier,2017-08-15 02:00:52.291,2017-08-15 02:31:26.816,Role 4
6,Create Purchase Requisition,2017-08-15 03:05:12.325,2017-08-15 03:20:04.503,Role 1
6,Analyze Purchase Requisition,2017-08-15 03:20:04.503,2017-08-15 03:21:49.006,Role 2
6,Create Request for Quotation,2017-08-15 03:21:49.006,2017-08-15 03:23:17.517,Role 2
5,Create Quotation comparison Map,2017-08-15 02:31:26.816,2017-08-15 04:16:47.726,Role 4
5,Analyze Quotation Comparison Map,2017-08-15 04:16:47.726,2017-08-15 04:31:41.702,Role 1
5,Choose best option,2017-08-15 04:31:41.702,2017-08-15 04:31:41.702,Role 8
6,Analyze Request for Quotation,2017-08-15 04:16:47.726,2017-08-15 04:44:41.099,Role 4
7,Create Purchase Requisition,2017-08-15 04:07:42.075,2017-08-15 05:01:55.44,Role 1
7,Analyze Purchase Requisition,2017-08-15 05:01:55.44,2017-08-15 05:09:27.253,Role 2
7,Create Request for Quotation,2017-08-15 05:09:27.253,2017-08-15 05:12:11.369,Role 2
4,Create Quotation comparison Map,2017-08-15 00:35:47.36,2017-08-15 05:19:49.989,Role 4
4,Analyze Quotation Comparison Map,2017-08-15 05:19:49.989,2017-08-15 05:27:03.109,Role 1
4,Choose best option,2017-08-15 05:27:03.109,2017-08-15 05:27:03.109,Role 8
6,Send Request for Quotation to Supplier,2017-08-15 05:19:49.989,2017-08-15 05:37:08.631,Role 4
7,Analyze Request for Quotation,2017-08-15 05:37:08.631,2017-08-15 06:03:57.298,Role 4
3,Create Quotation comparison Map,2017-08-15 00:53:17.901,2017-08-15 06:12:40.94,Role 4
7,Amend Request for Quotation,2017-08-15 06:03:57.298,2017-08-15 06:13:09.634,Role 8
3,Analyze Quotation Comparison Map,2017-08-15 06:12:40.94,2017-08-15 06:19:08.404,Role 1
3,Choose best option,2017-08-15 06:19:08.404,2017-08-15 06:19:08.404,Role 8
6,Create Quotation comparison Map,2017-08-15 06:12:40.94,2017-08-15 07:06:16.703,Role 4
6,Analyze Quotation Comparison Map,2017-08-15 07:06:16.703,2017-08-15 07:36:43.248,Role 1
6,Choose best option,2017-08-15 07:36:43.248,2017-08-15 07:36:43.248,Role 8
7,Analyze Request for Quotation,2017-08-15 07:06:16.703,2017-08-15 07:46:29.153,Role 4
4,Settle Conditions With Supplier,2017-08-15 06:03:57.298,2017-08-15 10:22:33.883,Role 4
3,Settle Conditions With Supplier,2017-08-15 07:46:29.153,2017-08-15 12:32:09.995,Role 4
5,Settle Conditions With Supplier,2017-08-15 04:44:41.099,2017-08-15 12:42:09.354,Role 4
4,Create Purchase Order,2017-08-15 12:42:09.354,2017-08-15 12:49:15.566,Role 4
3,Create Purchase Order,2017-08-15 12:49:15.566,2017-08-15 13:01:49.38,Role 4
5,Create Purchase Order,2017-08-15 13:01:49.38,2017-08-15 13:11:26.115,Role 4
4,Confirm Purchase Order,2017-08-15 12:49:15.566,2017-08-15 13:16:27.59,Role 11
3,Confirm Purchase Order,2017-08-15 13:16:27.59,2017-08-15 13:30:15.094,Role 11
5,Confirm Purchase Order,2017-08-15 13:30:15.094,2017-08-15 13:45:24.983,Role 11
2,Deliver Goods Services,2017-08-15 00:13:30.115,2017-08-15 14:41:12.737,Role 11
2,Release Purchase Order,2017-08-15 14:41:12.737,2017-08-15 14:42:12.737,Role 8
2,Approve Purchase Order for payment,2017-08-15 14:42:12.737,2017-08-15 14:43:12.737,Role 4
7,Send Request for Quotation to Supplier,2017-08-15 12:32:09.995,2017-08-15 14:50:11.235,Role 4
8,Create Purchase Requisition,2017-08-15 14:38:52.362,2017-08-15 15:34:52.16,Role 1
1,Deliver Goods Services,2017-08-15 00:50:34.574,2017-08-15 15:43:47.693,Role 11
1,Release Purchase Order,2017-08-15 15:43:47.693,2017-08-15 15:44:47.693,Role 8
1,Approve Purchase Order for payment,2017-08-15 15:44:47.693,2017-08-15 15:45:47.693,Role 4
8,Analyze Purchase Requisition,2017-08-15 15:34:52.16,2017-08-15 15:48:39.387,Role 2
8,Create Request for Quotation,2017-08-15 15:48:39.387,2017-08-15 15:50:47.644,Role 2
8,Analyze Request for Quotation,2017-08-15 15:50:47.644,2017-08-15 16:14:36.76,Role 4
8,Amend Request for Quotation,2017-08-15 16:14:36.76,2017-08-15 16:23:11.696,Role 8
9,Create Purchase Requisition,2017-08-15 16:17:53.752,2017-08-15 16:34:55.227,Role 1
8,Analyze Request for Quotation,2017-08-15 16:23:11.696,2017-08-15 16:36:09.946,Role 4
9,Analyze Purchase Requisition,2017-08-15 16:34:55.227,2017-08-15 16:37:58.848,Role 2
9,Create Request for Quotation,2017-08-15 16:37:58.848,2017-08-15 16:39:32.694,Role 2
8,Amend Request for Quotation,2017-08-15 16:36:09.946,2017-08-15 16:45:10.403,Role 8
9,Analyze Request for Quotation,2017-08-15 16:39:32.694,2017-08-15 17:00:33.438,Role 4
8,Analyze Request for Quotation,2017-08-15 17:00:33.438,2017-08-15 17:26:04.629,Role 4
11,Create Purchase Requisition,2017-08-15 17:05:50.622,2017-08-15 17:32:48.139,Role 1
8,Amend Request for Quotation,2017-08-15 17:26:04.629,2017-08-15 17:34:31.144,Role 8
11,Analyze Purchase Requisition,2017-08-15 17:32:48.139,2017-08-15 17:36:09.298,Role 2
7,Create Quotation comparison Map,2017-08-15 14:50:11.235,2017-08-15 17:36:59.463,Role 4
11,Create Request for Quotation,2017-08-15 17:36:09.298,2017-08-15 17:37:47.851,Role 2
9,Send Request for Quotation to Supplier,2017-08-15 17:26:04.629,2017-08-15 17:44:19.975,Role 4
7,Analyze Quotation Comparison Map,2017-08-15 17:36:59.463,2017-08-15 17:55:25.229,Role 1
7,Choose best option,2017-08-15 17:55:25.229,2017-08-15 17:55:25.229,Role 8
10,Create Purchase Requisition,2017-08-15 17:02:55.045,2017-08-15 17:58:43.978,Role 1
11,Analyze Request for Quotation,2017-08-15 17:44:19.975,2017-08-15 18:02:43.823,Role 4
8,Analyze Request for Quotation,2017-08-15 17:36:59.463,2017-08-15 18:02:47.729,Role 4
10,Analyze Purchase Requisition,2017-08-15 17:58:43.978,2017-08-15 18:03:04.361,Role 2
10,Create Request for Quotation,2017-08-15 18:03:04.361,2017-08-15 18:05:33.32,Role 2
9,Create Quotation comparison Map,2017-08-15 18:02:43.823,2017-08-15 19:51:04.855,Role 4
9,Analyze Quotation Comparison Map,2017-08-15 19:51:04.855,2017-08-15 20:02:52.038,Role 1
9,Choose best option,2017-08-15 20:02:52.038,2017-08-15 20:02:52.038,Role 8
11,Send Request for Quotation to Supplier,2017-08-15 19:51:04.855,2017-08-15 20:05:12.432,Role 4
8,Send Request for Quotation to Supplier,2017-08-15 20:05:12.432,2017-08-15 20:42:44.028,Role 4
10,Analyze Request for Quotation,2017-08-15 20:42:44.028,2017-08-15 20:50:43.095,Role 4
10,Amend Request for Quotation,2017-08-15 20:50:43.095,2017-08-15 20:55:29.235,Role 8
