,0,avg_costxhour,costxhour,dif_timestamp,idTask,lenRole,quantity,resource,role,roleID,role_ID,schedule,task
0,Activity table: Activities grouped by K frequent resources,,,,,,,,,,,,
0,,0.0,,,6.0,1.0,[32  0  0  0  0  0  0],['NOT_SET'],Role 1,,Role_1,,DIGITURNO
1,,6.285714285714286,,,10.0,7.0,[ 2  3 17  2  4  4  2],"['171', '238', '2', '167', '19', '177', '341']",Role 2,,Role_2,,TRIAGE
2,,10.142857142857142,,,12.0,7.0,[ 3  2 12  2  2  2  3],"['23', '3', 'NOT_SET', '338', '156', '286', '106']",Role 3,,Role_3,,INGRESOADMISION
3,,12.857142857142858,,,11.0,7.0,[68 68 44 52 85 54 60],"['68', '76', '16', '10', '49', '70', '264']",Role 4,,Role_4,,Folio
4,,0.0,,,9.0,1.0,[43  0  0  0  0  0  0],['NOT_SET'],Role 5,,Role_5,,ATENCIONCONSULTA
5,,0.0,,,1.0,1.0,[34  0  0  0  0  0  0],['NOT_SET'],Role 6,,Role_6,,HOSPITALIZACIONADMISION
6,,0.0,,,5.0,1.0,[39  0  0  0  0  0  0],['NOT_SET'],Role 7,,Role_7,,EGRESOADMISION
7,,11.142857142857142,,,2.0,7.0,[2 2 2 2 1 1 1],"['245', '162', '187', '142', '343', '176', '313']",Role 8,,Role_8,,SALIDAEGRESO
8,,0.0,,,3.0,1.0,[40  0  0  0  0  0  0],['NOT_SET'],Role 9,,Role_9,,SALIDAURGENCIAS
9,,0.0,,,4.0,1.0,[43  0  0  0  0  0  0],['NOT_SET'],Role 10,,Role_10,,FACTURACIONADMISION
10,,10.0,,,7.0,1.0,[1 0 0 0 0 0 0],['295'],Role 11,,Role_11,,ANULACIONADMISION
11,,0.0,,,8.0,1.0,[4 0 0 0 0 0 0],['NOT_SET'],Role 12,,Role_12,,MUERTEEGRESO
12,,8.0,,,0.0,1.0,[1 0 0 0 0 0 0],['342'],Role 13,,Role_13,,REGISTROINFURGENCIA
0,,0.0,0.0,20849.0,,,,NOT_SET,Role 1,Role_1,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
1,,6.285714285714286,9.0,934.0,,,,171,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
2,,6.285714285714286,6.0,1623.0,,,,238,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
3,,6.285714285714286,2.0,8181.0,,,,2,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
4,,6.285714285714286,1.0,947.0,,,,167,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
5,,6.285714285714286,4.0,1171.0,,,,19,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
6,,6.285714285714286,16.0,3455.0,,,,177,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
7,,6.285714285714286,6.0,637.0,,,,341,Role 2,Role_2,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
8,,10.142857142857142,16.0,0.0,,,,23,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
9,,10.142857142857142,19.0,0.0,,,,3,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
10,,10.142857142857142,0.0,20849.0,,,,NOT_SET,Role 3,Role_3,,"{'work_days': [1, 1, 1, 1, 1, 0, 0], 'start_hour': datetime.datetime(1900, 1, 1, 9, 0), 'end_hour': datetime.datetime(1900, 1, 1, 17, 0)}",
